ref_odoo;libelle;code_barre;categorie;prix_achat
COUTEAU BAROQUE 10CM - BOIS MARRON/4141;CTXX001;;COUTEAUX;
COUTEAU BAROQUE 10CM - BOIS ZEBRE/4142;CTXX002;;COUTEAUX;
COUTEAU BAROQUE 10CM - BURL/4145;CTXX003;;COUTEAUX;
COUTEAU BAROQUE 11.5CM - BOIS MARRON/4181;CTXX008;;COUTEAUX;
COUTEAU BAROQUE 11.5CM - BOIS ZEBRE/4182;CTXX009;;COUTEAUX;
COUTEAU BAROQUE 12CM - BOIS BLEU/4164;CTXX006;;COUTEAUX;
COUTEAU BAROQUE 12CM - BOIS MARRON/4161;CTXX004;;COUTEAUX;
COUTEAU BAROQUE 12CM - BOIS ZEBRE/4162;CTXX005;;COUTEAUX;
COUTEAU BAROQUE 12CM - BURL/4165;CTXX007;;COUTEAUX;
COUTEAU BERGER BOIS FONCE/8009;CTX011111;;COUTEAUX;
COUTEAU BERGER CANARD/8007;CTX011;;COUTEAUX;
COUTEAU BERGER CERF/8006;CTX0111;;COUTEAUX;
COUTEAU BERGER SANGLIER/8008;CTX01111;;COUTEAUX;
COUTEAU DE SECURITE SKULL/8531;CTX0301;;COUTEAUX;
COUTEAU DE SECURITE SWAT/8515;CTX030;;COUTEAUX;
COUTEAU EASYGRIP 11CM TECK/7016;CTX010;;COUTEAUX;
COUTEAU KIRI LAITON;COUT001;;COUTEAUX;
COUTEAU PAPILLON;COUT002;;COUTEAUX;
COUTEAU PAPILLON CHROME V2/3660;CTX002;;COUTEAUX;
COUTEAU PAPILLON DORE/8535;CTX014;;COUTEAUX;
COUTEAU PAPILLON GRIS/8536;CTX016;;COUTEAUX;
COUTEAU PAPILLON MULTI/8534;CTX013;;COUTEAUX;
COUTEAU PAPILLON NOIR BASIC/8532;CTX012;;COUTEAUX;
COUTEAU PAPILLON NOIR V2/3662;CTX003;;COUTEAUX;
COUTEAU PAPILLON NOIR/8537;CTX015;;COUTEAUX;
COUTEAU TECK/9706;CTX017;;COUTEAUX;
DEFECTUEUX;;;;
DEFECTUEUX fusion v2;;;;
DEFECTUEUX POD 1600;;;;
DESPE JAUNE 50CL;BOIS002;;BOISSONS;
DESPERADOS RED 50CL;BOIS003;;BOISSONS;
DREAM COMPANY - GORILLA GLUE;0018;;CBD - DREAM COMPANY;
ESSENCE ANGEL 133ML;AC00050;;GAZ / ESSENCE;
ETUI A CIGARETTE DECAPSULEUR X8;ETU002;;ACCESSOIRES FUMEURS;
ETUI A CIGARETTE MATTEO LEAF X8;ETU001;;ACCESSOIRES FUMEURS;
ETUI A CIGARETTE METAL RELIEF X12;ETU003;;ACCESSOIRES FUMEURS;
ETUI A CIGARETTE METAL X12;ETU004;;ACCESSOIRES FUMEURS;
ETUI RAW CASE THREE TREE DISPLAY DE 12;A001;;ACCESSOIRES FUMEURS;
FEUILLE RAW X25;R001;;FEUILLES / FILTRES - RAW;
FEUILLE SLIM RAW + CARTON X24;R003;;FEUILLES / FILTRES - RAW;
FEUILLE SLIM RAW X50;R002;;FEUILLES / FILTRES - RAW;
FILTRE SLIM ANGEL 6MM X34/A12014;B319;;BRIQUETS - GAZ;
FOYER SILICONE;AC;;CHICHA / ACCESSOIRES;
GAZ CLIPPER 300ML X12;GAZ001;;GAZ / ESSENCE;
GAZ NEWPORT 250ML X12;AC0002;;GAZ / ESSENCE;
GOLDEN WEEDS 3X FILTRE 5G;G009;;CBD - GOLDEN WEED;
GOLDEN WEEDS AFGHAN 5G;G010;;CBD - GOLDEN WEED;
GOLDEN WEEDS AK47 10G;G011;;CBD - GOLDEN WEED;
GOLDEN WEEDS AMNESIA SMALL 10G;G007;;CBD - GOLDEN WEED;
GOLDEN WEEDS AMNESIA SMALL 25G;G008;;CBD - GOLDEN WEED;
GOLDEN WEEDS GORILLA GLUE 3G + 2G OFFERTS;G013;;CBD - GOLDEN WEED;
GOLDEN WEEDS JACK HERER 3G + 2G OFFERTS;G014;;CBD - GOLDEN WEED;
GOLDEN WEEDS SKUNK 10G;G012;;CBD - GOLDEN WEED;
GOLDEN WEEDS TUTTI FRUITTI 3G + 2G OFFERTS;G016;;CBD - GOLDEN WEED;
GOLDEN WEEDS WHITE WIDOW 3G + 2G OFFERTS;G015;;CBD - GOLDEN WEED;
GREEN CRACK BOX;BOX005;;CBD - SEVEN WEED;
GRINDER ANTIQUE X12;G020;;ACCESSOIRES FUMEURS;
GRINDER GOLD BAR 50MM X6;G017;;ACCESSOIRES FUMEURS;
GRINDER MUNITION;G019;;ACCESSOIRES FUMEURS;
GRINDER ORNETT BLEU X12;ROL014;;ACCESSOIRES FUMEURS;
GRINDER ORNETT TRANSPARENT X12;ROL012;;ACCESSOIRES FUMEURS;
GRINDER RAINBOW X6;G018;;ACCESSOIRES FUMEURS;
HEINEKEN 50CL;BOIS005;;BOISSONS;
ICE FRUTZ SAVEURS MIXTES;ICE000;;CHICHAS - GOUTS;
JACK HERER;0008;;CBD - DREAM COMPANY;
JET TORCH MATTEO GOLD AND BLACK WEED X12/196034;B311;;BRIQUETS - LAZER;
JET TORCH MATTEO GOLD WEED X12/196030;B310;;BRIQUETS - LAZER;
JEU DE CARTES RAW NOIR;J001;;JEUX - CARTES / DOMINOS;
JEU DE DOMINO RAW;J002;;JEUX - CARTES / DOMINOS;
JEUX DE CARTES X32 - DISPLAY X12;CAR003;;JEUX - CARTES / DOMINOS;
JEUX DE CARTES X32 - LOT X10;CAR001;;JEUX - CARTES / DOMINOS;
JEUX DE CARTES X54 - DISPLAY X18;CAR004;;JEUX - CARTES / DOMINOS;
JEUX DE CARTES X54 - LOT X10;CAR002;;JEUX - CARTES / DOMINOS;
JNR ELIQUIDE 10ML - BLACK DRAGON ICE;ELI001;;ELIQUIDES - JNR;
JNR ELIQUIDE 10ML - BLACK ICE;ELI026;;ELIQUIDES - JNR;
JNR ELIQUIDE 10ML - BLACKBERRY RED RASPBERRY;ELI002;;ELIQUIDES - JNR;
JNR ELIQUIDE 10ML - BLUE RAZZ CHERRY;ELI020;;ELIQUIDES - JNR;
JNR ELIQUIDE 10ML - BLUE RAZZ ICE;ELI031;;ELIQUIDES - JNR;
JNR ELIQUIDE 10ML - BLUEBERRY POMEGRANATE ICE;ELI003;;ELIQUIDES - JNR;
JNR ELIQUIDE 10ML - BLUEBERRY RASPBERRY CHERRY;ELI004;;ELIQUIDES - JNR;
JNR ELIQUIDE 10ML - BLUEBERRY RED RASPBERRY;ELI025;;ELIQUIDES - JNR;
JNR ELIQUIDE 10ML - BLUEBERRY SOUR RASPBERRY;ELI005;;ELIQUIDES - JNR;
JNR ELIQUIDE 10ML - CHERRY BERRY;ELI027;;ELIQUIDES - JNR;
JNR ELIQUIDE 10ML - CHERRY ICE;ELI006;;ELIQUIDES - JNR;
